start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame																																		
1	7	14	14	30	30	30																																		
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	Landmark_11_x	Landmark_11_y	Landmark_12_x	Landmark_12_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
1	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
2	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
3	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
4	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
5	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
6	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
7	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
8	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
9	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
10	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
11	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
12	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
13	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
14	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
15	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
16	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
17	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
18	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
19	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
20	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
