Frame Numbers	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	UES Sens #	UES Pressrue
1	-22.78	-22.78	-22.78	-34.71	-22.1	6.56	0	3.77	3.83	3.86	1.54	-0.77	3.63	-0.3	-4.74	0.45	1.14	1.84	-1.85	-2.4	-0.65	-0.82	23.2	34.72	46.24	18.23	4.45	3.25	4.52	4.53	4.54	2.46	4.76	4.51	10.57	3.81	25	46.24
2	-22.67	-22.67	-22.67	-34.71	-22.18	6.09	0	3.64	3.83	3.86	1.48	-0.89	3.43	-0.44	-4.87	0.31	0.95	1.58	-1.85	-2.22	-0.65	-0.82	23.2	34.79	46.38	18.11	4.45	3.25	4.4	4.97	5.53	2.62	4.89	4.51	10.87	3.98	25	46.38
3	-22.56	-22.56	-22.56	-34.45	-22.1	6.09	0	4.01	3.7	3.67	1.39	-0.89	3.02	-0.17	-5	0.45	1.08	1.71	-1.85	-2.22	-0.56	-0.82	23.74	34.99	46.24	17.98	4.15	3.1	4.4	4.8	5.2	2.31	4.37	4.51	10.87	4.15	25	46.24
4	-22.9	-22.9	-22.9	-34.71	-22.18	5.77	-0.25	3.89	3.83	3.57	1.4	-0.77	3.02	-0.44	-4.74	0.45	1.01	1.58	-1.94	-2.13	-0.56	-0.82	23.88	34.86	45.84	17.37	4.05	3.1	4.29	4.99	5.69	2.92	4.89	4.68	11.06	4.15	25	45.84
5	-22.78	-22.78	-22.78	-34.58	-22.18	5.46	-0.25	3.77	3.7	3.48	1.24	-1.01	2.72	-0.44	-4.61	0.45	1.08	1.71	-1.94	-2.13	-0.56	-0.82	23.88	34.52	45.16	17.37	3.87	2.95	4.4	4.97	5.53	2.62	4.76	4.51	11.28	4.15	25	45.16
6	-22.56	-22.56	-22.56	-34.45	-22.1	5.15	-0.25	3.89	3.96	3.29	1.26	-0.77	2.82	-0.17	-4.61	0.58	1.14	1.71	-1.75	-2.22	-0.65	-0.58	24.96	35.06	45.16	17.25	4.05	3.1	4.52	4.94	5.36	2.46	4.89	4.59	11.62	3.98	25	45.16
7	-22.78	-22.78	-22.78	-34.45	-22.34	4.99	0	4.13	3.83	3.38	1.25	-0.89	3.22	-0.3	-4.74	0.58	1.08	1.58	-1.66	-2.13	-0.65	-0.21	27.65	36.2	44.75	16.51	4.05	3.1	4.78	5.24	5.69	2.92	5.27	4.84	13.93	3.98	25	44.75
8	-22.67	-22.67	-22.67	-34.33	-22.1	4.54	-0.25	3.89	3.7	2.91	1.01	-0.89	3.22	-0.3	-4.74	0.45	1.08	1.71	-1.75	-2.04	-0.65	0.65	31.75	37.84	43.93	15.9	4.05	2.8	4.52	5.19	5.86	2.62	5.02	4.68	16.46	3.14	25	43.93
9	-22.56	-22.56	-22.56	-34.33	-22.18	4.27	-0.49	3.64	3.7	2.53	0.76	-1.01	2.31	-0.3	-4.74	0.58	1.14	1.71	-1.47	-2.22	-0.56	1.34	43.51	42.18	40.85	14.28	4.05	2.95	4.4	5.21	6.02	2.46	4.63	4.51	18.19	2.8	25	40.85
10	-22.56	-22.56	-22.56	-34.58	-22.34	3.86	0	3.4	3.57	2.25	0.68	-0.89	1.9	-0.44	-4.74	0.58	1.14	1.71	-1.66	-2.48	-0.65	2.71	57.59	46.97	36.35	12.27	3.96	2.8	4.17	5.34	6.52	2.46	4.76	4.42	19.25	2.8	25	36.35
11	-22.67	-22.67	-22.67	-34.71	-22.18	3.73	0	3.03	3.7	2.15	0.57	-1.01	1.8	-0.3	-4.61	1.25	1.54	1.84	-2.22	-2.31	-0.56	3.75	72.32	51.52	30.72	11.06	3.77	2.8	4.05	5.7	7.34	2.46	4.63	4.34	19.88	2.97	24	51.52
12	-22.78	-22.78	-22.78	-34.45	-28.91	3.32	-0.25	2.79	3.45	2.25	0.62	-1.01	3.53	-0.17	-4.87	3.52	2.74	1.96	-2.31	-2.66	-0.47	7.02	81.6	53.09	24.57	10.12	3.96	2.65	-4.11	2.52	9.16	2.31	4.5	4.09	16.35	2.97	24	53.09
13	-22.67	-22.67	-22.67	-34.58	-31.68	3.32	0	2.91	3.96	2.44	0.71	-1.01	8.68	-0.17	-0.99	9.98	6.23	2.48	-1.75	-2.4	0.06	10.44	85.35	53.69	22.02	10.66	4.6	3.25	-6.47	1.67	9.82	2.15	4.63	4.26	13.93	3.31	24	53.69
14	-22.78	-22.78	-22.78	-34.71	-31.92	4.54	-0.25	3.77	5.74	2.15	0.33	-1.49	6.31	-0.44	51.16	50.04	26.45	2.87	0.31	-1.68	0.33	20.82	92.46	56.54	20.62	10.92	4.9	3.71	-5.88	1.23	8.33	2.92	5.02	4.59	13	3.64	24	56.54
15	-22.9	-22.9	-22.9	-35.22	-31.92	5.93	-0.74	4.26	5.74	0.83	-0.27	-1.37	5.87	-0.84	83.13	169.18	87.06	4.93	2.74	1.44	2.11	55.28	103.36	58.61	13.86	12	5.5	3.86	-5.05	0.81	6.68	3.23	5.27	4.84	7.93	4.48	24	58.61
16	-22.9	-22.9	-22.9	-35.09	-31.84	6.4	-0.74	4.26	5.74	0.67	-0.35	-1.37	3.43	-0.57	68.95	262.6	134.96	7.31	5.06	3.57	4.64	44.99	95.21	51.39	7.57	13.08	6.41	4.17	-4.11	0.88	5.86	3.7	5.4	5.01	5.43	6.33	24	51.39
17	-22.9	-22.9	-22.9	-35.34	-31.92	6.4	-0.25	4.01	5.61	1	0.41	-0.17	2.51	-0.71	39.38	294.27	152.96	11.66	8.3	6.44	7.15	80.66	65.18	33.39	1.61	13.34	6.56	4.47	-3.04	1.24	5.53	4.16	5.92	5.35	4.25	8.17	24	33.39
18	-23.01	-23.01	-23.01	-34.96	-31.84	6.09	-0.74	4.26	5.49	1.16	0.68	0.19	2	-0.44	41.45	288.26	152.74	17.22	18.34	9.71	8.94	38.2	27.51	13.96	0.4	13.48	6.56	4.62	-1.74	1.81	5.36	3.54	5.53	4.84	3.58	6.33	24	13.96
19	-22.9	-22.9	-22.9	-34.96	-31.76	6.24	-0.74	4.26	5.49	0.83	0.39	-0.05	1.19	-0.44	61.67	266.97	144.97	22.97	22.09	17.24	16.26	26.32	7.92	4.42	0.92	11.06	4.75	3.41	-2.33	1.27	4.87	2.62	4.89	4.59	3.24	5.51	24	4.42
20	-23.01	-23.01	-23.01	-35.09	-31.76	6.56	0	4.13	5.36	0.67	-0.35	-1.37	-0.84	-0.44	79.63	212.25	120.06	27.88	23.95	17.77	18.06	24.43	3.81	2.85	1.89	9.72	3.77	1.89	-4.82	-0.22	4.37	2.31	4.89	4.42	3.07	5.3	24	2.85
21	-22.9	-22.9	-22.9	-34.96	-31.61	6.24	-0.25	3.77	5.23	1.16	-0.04	-1.25	-2.17	-0.3	71.78	167.84	100.14	32.44	5.97	3.96	6.19	8.22	3.39	4.02	4.65	14.15	8.52	6.29	-4.93	0.05	5.03	3.39	5.53	4.93	3.49	5.71	24	4.02
22	-22.78	-22.78	-22.78	-34.84	-31.61	5.77	0	3.77	5.23	1	0	-1.01	-2.88	-0.3	59.37	153.64	103.61	53.58	3.68	1.71	3.92	4.26	0.86	2.21	3.55	12.4	6.11	4.17	-7.3	-0.64	6.02	3.7	6.05	5.52	4.42	5.92	24	2.21
23	-22.78	-22.78	-22.78	-34.84	-31.68	5.62	0.24	3.77	4.98	0.83	-0.27	-1.37	-3.08	-0.44	56.93	152.31	118.21	84.11	7.52	2.07	3.08	3.06	0.76	2.71	4.65	12	5.35	3.71	-7.77	-0.46	6.85	3.08	5.66	5.18	4.33	4.69	24	2.71
24	-22.78	-22.78	-22.78	-34.71	-26.3	5.77	0	3.77	4.72	0.67	-0.35	-1.37	-2.98	-0.57	57.65	152.57	129.95	107.32	11.98	3.05	2.64	2.54	6.5	6.2	5.9	11.87	5.35	3.71	-0.8	2.86	6.52	3.23	5.92	5.26	6.95	5.1	24	6.2
25	-22.9	-22.9	-22.9	-35.09	-22.42	6.4	-0.25	4.13	4.85	0.67	-0.35	-1.37	-2.98	-0.84	55.92	155.25	139.58	123.9	26.07	42.92	2.64	2.2	11.08	8.42	5.76	12	5.35	3.71	4.29	5.4	6.52	3.23	5.66	5.18	9.4	5.71	24	8.42
26	-22.9	-22.9	-22.9	-35.09	-22.42	7.65	-0.25	4.6	4.98	0.5	-0.55	-1.61	-2.88	-0.84	57.79	160.88	146.66	132.44	58.56	98.86	3.56	1.85	10.62	7.09	3.55	12.27	5.2	3.71	4.29	4.58	4.87	2.77	5.4	5.26	9.3	5.92	24	7.09
27	-22.9	-22.9	-22.9	-35.09	-22.58	8.28	-0.49	4.95	4.85	0.34	-0.51	-1.37	-2.78	-1.11	60.52	163.55	148.2	132.85	74.59	107.17	4.76	2.37	10.33	6.59	2.86	11.46	5.2	3.71	4.17	4.35	4.54	3.23	5.4	5.26	9.3	6.12	24	6.59
28	-22.9	-22.9	-22.9	-34.84	-22.34	8.12	-0.74	4.95	4.59	0.5	-0.49	-1.49	-2.67	-1.11	58.51	159.8	146.51	133.22	83.2	127.38	8.47	2.37	10.19	6.45	2.72	11.73	5.35	4.17	4.78	4.41	4.04	2.92	5.66	5.18	9.89	6.12	24	6.45
29	-22.9	-22.9	-22.9	-34.84	-23.77	7.81	-0.49	4.43	4.59	0.5	-0.49	-1.49	-2.98	-0.84	47.15	139.9	133.12	126.34	81.71	163.75	16.86	3.06	9.2	6.1	2.99	11.46	5.66	4.62	2.04	3.12	4.21	3.08	5.66	5.18	13.58	6.74	24	6.1
30	-22.9	-22.9	-22.9	-34.96	-31.84	6.87	0	4.43	4.47	0.5	-0.49	-1.49	-3.18	-0.71	36.64	121.46	119.47	117.49	75.75	172.17	35.81	4.61	0.13	1.77	3.41	11.87	5.96	4.47	-6.83	-0.81	5.2	3.23	6.05	5.43	4.75	6.94	24	1.77
31	-23.01	-23.01	-23.01	-34.84	-29.94	6.24	-0.49	4.13	3.83	0.17	-0.6	-1.37	-2.88	-0.71	29.26	98.73	101.59	104.45	63.09	173.32	71.87	8.39	2.34	3.08	3.82	12.27	6.41	5.08	-4.34	0.92	6.19	3.85	6.43	5.94	8.13	7.35	24	3.08
32	-22.9	-22.9	-22.9	-34.45	-31.53	4.99	0	3.64	2.68	1.33	0.16	-1.01	-1.86	-0.3	11.87	53.96	57.71	61.47	33.66	113.63	149.17	16.23	1.39	3.23	5.07	13.88	7.61	5.99	-5.17	1	7.18	5.24	7.46	6.69	5.85	7.15	24	3.23
